Project Name,Client Name,Location,Capabilities,Markets,Thumbnail,URL
Boulder Parking Structures,City of Boulder,"Boulder, CO",Asset Management,,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/2016-11-21%2011.47.37.jpg?itok=eCSk8cbh,https://www.f-w.com/projects/10-year-work-plan-to-guide-investment-strategy
Sherman Family Practice,Springfield Clinic,"Sherman, IL","Architecture, Interior Design",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Spfld_Clinic_Sherman_Ext_01%20crop.jpg?h=2444e82c&itok=x_1-lpuy,https://www.f-w.com/projects/1960s-era-family-practice-clinic-renovation
Carr Connector Pipeline,Magellan Midstream Partners,"Weld County, CO",Oil & Gas,"Energy & Utilities, Oil & Gas",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_0185.jpg?h=71976bb4&itok=iC3pTvVL,https://www.f-w.com/projects/30-horizontal-directional-drills-on-the-carr-connector-pipeline
Snow Shed Tunnel Improvements,Fehr and Peers / CDOT Region 5,"Red Mountain Pass, CO",Surveying,,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/US%20550%20Snow%20Shed%202%20altered.jpg?h=5d32e2ae&itok=-saPNzJs,https://www.f-w.com/projects/3d-scanning-used-for-snow-shed-tunnel-improvements
"North Weld County Water District - East Larimer County Water District Water Transmission, Phase II",North Weld County Water District and East Larimer County Water District,"Fort Collins, CO","Engineering, Municipal",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/May%202015%20044_0.jpg?h=a5eb5da0&itok=BOBsT1Hp,https://www.f-w.com/projects/42-in-diameter-waterline-design
Rockford Service Center Renovation,Health Care Service Corporation,"Rockford, IL","Architecture, Interior Design",Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_6997%20edit.jpg?h=71976bb4&itok=ZXuzkX12,https://www.f-w.com/projects/90s-era-office-building-renovated
Marcus Nanotechnology Building Phases 3-6,Georgia Institute of Technology,"Atlanta, GA",Commissioning (Cx),Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Marcus%20Nano.jpg?h=0da20745&itok=l8uMQ5qx,https://www.f-w.com/projects/a-global-hub-for-nanotechnology-research
Activity and Recreation Center,Normal Township,"Normal, IL","Architecture, Electrical, Interior Design, Landscape Architecture, Mechanical, Plumbing, Structural",Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/ARC%20Exterior%20with%20Sign%201_0.jpg?h=566f8611&itok=9iOoLAOA,https://www.f-w.com/projects/a-place-for-senior-activity
Echo Bluff State Park,State of Missouri,"Shannon County, MO","Architecture, Electrical, Interior Design, Land Development, Landscape Architecture, Mechanical, Plumbing, Structural, Surveying, Transportation, Wastewater, Stormwater Management",Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/28939569143_7c3aff22e3_o_0.jpg?h=fba0f307&itok=2DZfPbj8,https://www.f-w.com/projects/a-year-round-state-park-destination
Timberlake Estates Supportive Living,Abundant Faith Christian Center,"Springfield, IL","Architecture, Electrical, Landscape Architecture, Mechanical, Plumbing, Structural",Senior Life Care,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_3568.JPG?h=dcafdd9c&itok=457h-j0i,https://www.f-w.com/projects/abundant-faith-christian-center-builds-facility
Marshall Public Library Renovation,Marshall Public Library,"Marshall, IL","Architecture, Electrical, Interior Design, Mechanical, Plumbing",Library & Cultural,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/20190225_115401_edited.jpg?h=92229be0&itok=rjYUNk7n,https://www.f-w.com/projects/accessibility-and-updates-for-unused-space
Vista Charter School,,"Montrose, CO",Commissioning (Cx),K-12 Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Vista%20Charter%20School%20Slideshow.jpg?h=c82f5852&itok=1wNIqhOP,https://www.f-w.com/projects/achieved-owners-intent-and-vision
Illinois CancerCare,Illinois CancerCare,"Peoria, IL","Architecture, Electrical, Interior Design, Land Development, Landscape Architecture, Mechanical, Plumbing, Structural",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/03%20D7K_1720%20HDR.jpg?h=4d92ec11&itok=MK5PG1rT,https://www.f-w.com/projects/addition-blends-with-original-building
Mitchell Memorial Library Addition,"Mississippi Bureau of Buildings, Grounds, and Real Property Management","Starkville, MS","Building Enclosure Commissioning (BECx), Commissioning (Cx)","Higher Education, Library & Cultural",,https://www.f-w.com/projects/addition-commissioned-for-presidential-library
Agnew Middle School Third Party Storm Shelter Review,Mesquite Independent School District,"Mesquite, TX","Architecture, Electrical, Mechanical","K-12 Education, ICC Storm Shelter Peer Review",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Agnew%20MS%20TS%202%20edited.jpg?h=c96e57aa&itok=2EyTkG0N,https://www.f-w.com/projects/adequate-signage-an-icc-500-shelter-requirement
Marksheffel Road,,"El Paso County, CO",Surveying,Municipal,,https://www.f-w.com/projects/aggressive-survey-schedule-to-support-design
Consolidated Car Rental Facility,Hartsfield-Jackson Development Program / City of Atlanta Department of Aviation,"Atlanta, GA",Commissioning (Cx),Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/conracnight%20less%20sky.jpg?h=b62af8b0&itok=03kzjPIF,https://www.f-w.com/projects/airport-modernizes-car-rental-facilities
Alta Farms II Wind Project,"Alta Farms II Wind, LLC","Dewitt County, IL",Transportation,"Energy & Utilities, Renewables",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/2_0.jpg?h=9658c3a2&itok=p3SFF74W,https://www.f-w.com/projects/alta-farms-ii-wind-project
Altoona City Hall and Police Station,,"Altoona, IA",Architecture,Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Pgp79844%232.jpg?itok=aqAiPcz2,https://www.f-w.com/projects/altoona-city-hall-and-police-station
Olympic Training Center Aquatic Center,U.S. Olympic Committee,"Colorado Springs, CO",Retro-Commissioning (RCx),Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_4484_2.JPG?h=2dcff2eb&itok=3nj43TE6,https://www.f-w.com/projects/aquatic-center-hvac-upgrades
Visual Arts Center Museum,University of Colorado at Boulder,"Boulder, CO","Commissioning (Cx), Electrical, Mechanical","Higher Education, Library & Cultural",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/20170126_205335529_iOS%20rotated.jpg?h=d318f057&itok=s1exfp2x,https://www.f-w.com/projects/art-collection-displayed-and-stored-in-comfort
Art and Design Building West Addition,Southern Illinois University - Edwardsville,"Edwardsville, IL","Building Enclosure Commissioning (BECx), Commissioning (Cx)",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/SIUE%20Art%20and%20Design%20P1040974-edit2.jpg?h=62e14fb5&itok=soqRkHAN,https://www.f-w.com/projects/art-design-building-obtains-leed-gold
St. Margaret's Hospital Condition Assessment,St. Margaret's Health,"Spring Valley, IL",Asset Management,Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/St%20Margaret%27s%20conditon%20assess%20IMG_0499.JPG?itok=QspQnfjH,https://www.f-w.com/projects/assessment-for-hospital-campus
Asset Management for a Confidential Corporate Client,Confidential,"Dallas, TX",Asset Management,Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Dallas-Hunt_Consolidated_Tower_02.jpg?h=a5eb5da0&itok=5dl0BfP9,https://www.f-w.com/projects/asset-management-for-a-confidential-corporate-client
Snyder Village New Assisted Living Center,Snyder Village,"Metamora, IL","Architecture, Electrical, Land Development, Landscape Architecture, Mechanical, Plumbing",Senior Life Care,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Entry%20150_slideshow.jpg?h=4a3a9d3a&itok=-EZObfnx,https://www.f-w.com/projects/assisted-living-center-completes-master-plan
Atlanta Public Schools HVAC and Indoor Air Quality Retro-Commissioning,Atlanta Public Schools,"Atlanta, GA",Retro-Commissioning (RCx),K-12 Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/larger-photo.png?h=34515be3&itok=ct1hnpKF,https://www.f-w.com/projects/atlanta-public-schools-hvac-and-indoor-air-quality-retro-commissioning
Level 2 Energy Audits at 30 Marine Forces Reserve Installations,"North Wind, Inc. / U.S. Army Corps of Engineers",Nationwide,"Asset Management, Commissioning (Cx)",DOD / Federal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Pasadena%20IMG_0038%20crop%20for%20web_0.jpg?h=9471aec0&itok=iCTL4emD,https://www.f-w.com/projects/audits-yield-big-savings-for-marine-forces-reserve
New Hillsboro Public Library,Hillsboro Public Library System,"Hillsboro, IL",Architecture,Library & Cultural,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/interiorrender1.jpg?h=a81915c7&itok=-mc8cIhr,https://www.f-w.com/projects/bank-building-repurposed-for-library
Copper Slough Bank Stabilization,City of Champaign,"Champaign , IL","Municipal, Surveying, Stormwater Management",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/20171031_132359_resized.jpg?h=81a575bc&itok=9J2TlAK7,https://www.f-w.com/projects/bank-stabilization-protects-neighborhood
Battery Assembling and Testing Area,Confidential Client,,Process Piping,Advanced Manufacturing & Technology,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/AdobeStock_918584554.jpeg?h=0fb6fb83&itok=nSt04AH7,https://www.f-w.com/projects/battery-assembling-and-testing-area
Belleville Carnegie Library Renovation,"City of Belleville, Illinois","Belleville, IL","Architecture, Interior Design","Historic Preservation, Library & Cultural",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/belleville%20library%20003_0.jpg?h=7685ba0d&itok=bbJZgHZf,https://www.f-w.com/projects/belleville-library-facilities-get-refresh
Bicycle Network Master Plan,City of Monticello,"Monticello, IL","Landscape Architecture, Transportation",Parks & Recreation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_5242.JPG?h=a5eb5da0&itok=9mw1brK3,https://www.f-w.com/projects/bicycle-network-master-plan-provides-better-accessibility
Black Hawk State Historic Site Lodge Improvements,Illinois Capital Development Board,"Rockford, IL","Architecture, Electrical, Interior Design, Mechanical, Plumbing",Historic Preservation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/3_Black%20Hawk%20ballroom%20small.1.jpg?h=feba0e1d&itok=d1clTcsb,https://www.f-w.com/projects/black-hawk-lodge-historic-improvements
Blue Canyon Wind Farm,Horizon Wind Energy,"Caddo & Comanche Counties, OK","Electrical, Engineering, Mechanical, Plumbing","Energy & Utilities, Renewables",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/bluecanyon.jpg?h=a5eb5da0&itok=zVqSSsvX,https://www.f-w.com/projects/blue-canyon-wind-om-building
Manhattan Downtown Redevelopment Plan,Village of Manhattan,"Manhattan, IL","Architecture, Landscape Architecture, Planning, Transportation",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/05-Birdseye-from-SE.png?h=8f74817f&itok=xKL7jnjO,https://www.f-w.com/projects/bold-vision-enhances-downtown
Murdoch Avenue Bridge Replacement,"City of Webster Groves, Missouri","Webster Groves, MO","Structural, Transportation",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Murdoch%20Ave%20Web%20Image.jpg?h=12bd73b8&itok=RlgK0abT,https://www.f-w.com/projects/bridge-replacement-allows-for-more-clearance
Bright Stalk Wind Farm,Horizon Wind Energy,"McLean County, IL","Architecture, Engineering, Surveying, Transportation","Energy & Utilities, Renewables",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DJI_20211019104343_0017.JPG?h=5767db86&itok=wihBSW4V,https://www.f-w.com/projects/bright-stalk-wind-farm
Westmont College Master Plan,Westmont College,"Santa Barbara, CA",Commissioning (Cx),Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Westmont%20College%20054%20larger.jpg?h=7425e3af&itok=1rc_TW1e,https://www.f-w.com/projects/buildings-exceed-leed-targets
South Pikes Peak Avenue / Union Street Water Line,City of Florence,"Florence, CO",Municipal,Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_5981_0.JPG?h=dcafdd9c&itok=3eAXR2he,https://www.f-w.com/projects/businesses-stay-open-during-construction
Global Telecom Cable Location,Confidential Global Telecom Company,"Willard, MO","Engineering, Surveying","Energy & Utilities, Telecommunications",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/casino3_.jpg?h=c7a8c72d&itok=RePX0CkU,https://www.f-w.com/projects/cable-reroute-allows-for-expansion
California Ridge Wind Farm,"Invenergy, LLC","Champaign & Vermillion Counties, IL","Surveying, Transportation","Energy & Utilities, Renewables",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DJI_20211019105028_0025.JPG?h=5767db86&itok=P7KJvnNd,https://www.f-w.com/projects/california-ridge-wind-farm
Oneida Campus Renovation & Expansion,ROWVA CUSD No. 208,"Oneida, IL","Architecture, Electrical, Interior Design, Land Development, Landscape Architecture, Mechanical, Plumbing, Structural, Surveying",K-12 Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/D7K_5883.JPG?h=bfa41935&itok=a7Fv30r_,https://www.f-w.com/projects/campus-receives-40000-sf-addition
Fourth Street Improvements,Capital Development Board,"Champaign, IL","Municipal, Transportation","Higher Education, Municipal",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/fourth%20street%202.jpg?h=50a0ca71&itok=lh_eHsc9,https://www.f-w.com/projects/campus-street-upgraded-for-safety
Illinois CancerCare - Bloomington,Illinois CancerCare,"Bloomington, IL","Architecture, Electrical, Interior Design, Landscape Architecture, Mechanical, Plumbing, Structural",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/8M1A8589.jpg?h=f2fcf546&itok=xQX0jELv,https://www.f-w.com/projects/cancercare-mob-for-bloomington
Kirchner Block & Brick,Midwest Products Group,"Earth City, MO","Land Development, Structural",Industrial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/P1010247.JPG?h=4521fff0&itok=UbRyIMVB,https://www.f-w.com/projects/capacity-needs-lead-to-new-facility
Carl Sandburg College New Science and Technology Center,Carl Sandburg College,"Galesburg, IL","Architecture, Electrical, Engineering, Fire Protection, Interior Design, Landscape Architecture, Mechanical, Plumbing, Structural",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/CSC%20ST.png?h=ba2e5e53&itok=od7rpNtu,https://www.f-w.com/projects/carl-sandburg-college-science-technology-center
Cardiology Renovation and Catherization Lab,Carle BroMenn Medical Center,"Bloomington, IL","Architecture, Electrical, Mechanical, Plumbing, Structural",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Farnsworth_Carle_Cardiac_Cath_012623-32.jpg?h=07895646&itok=duZVdZM6,https://www.f-w.com/projects/carle-bromenn-medical-center-cardiology-renovation-and-catherization-lab
Carle BroMenn Medical Center Various Projects,Carle Healthcare,"Normal, IL","Architecture, Commissioning (Cx), Electrical, Interior Design, Land Development, Mechanical, Plumbing, Structural",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Farnsworth_Carle_Cardiac_Cath_012623-33.jpg?h=8f02d2c3&itok=fbHy1rFs,https://www.f-w.com/projects/carle-bromenn-medical-center-various-projects
High Hydrogen Peroxide Waste Treatment Feasibility Study and Pilot System Concept,,"Middle East, AS","Mechanical, Process Piping",Industrial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/HazMat%20Cabinet.JPG?h=4eadde09&itok=hkYOdHJh,https://www.f-w.com/projects/catalytic-decomposition-of-hydrogen-peroxide
New Member Center,CEFCU (Citizens Equity First Credit Union),"Canton, IL","Commissioning (Cx), Electrical, Land Development, Landscape Architecture, Mechanical, Plumbing, Surveying",Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSC_0208%20-%20edited.jpg?h=790be497&itok=xybWnwN3,https://www.f-w.com/projects/cefcu-adds-member-service-center
New CEFCU Branham Member Center,CEFCU,"San Jose, CA","Architecture, Electrical, Mechanical, Plumbing",Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DSC00480.JPG?itok=tTAltLH1,https://www.f-w.com/projects/cefcu-opens-its-first-silicon-valley-branch-location
Johnston Public Safety Building,City of Johnston,"Johnston, IA",Architecture,Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/SmallIMG_0759_edited-1.jpg?h=7891189b&itok=zFqzd0Lk,https://www.f-w.com/projects/certified-leed-silver-public-safety-building
Illinois Wesleyan University Energy Master Plan,Illinois Wesleyan University,"Bloomington, IL",Commissioning (Cx),Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Ames%201-larger.png?h=feba0e1d&itok=sDppPeXu,https://www.f-w.com/projects/charting-a-sustainable-future-with-the-illinois-wesleyan-university-energy-master-plan
Children's Wisconsin Campus: Various Projects,Children's Wisconsin,"Milwaukee, WI","Commissioning (Cx), Retro-Commissioning (RCx)",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/CW-large.png?h=feba0e1d&itok=m0mWa_ug,https://www.f-w.com/projects/childrens-wisconsin-campus-various-projects
Chiller Replacement,Pikes Peak Library District,"Colorado Springs, CO",Mechanical,Library & Cultural,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/20150414_082857.jpg?h=a5eb5da0&itok=zDjT9H24,https://www.f-w.com/projects/chiller-replacement-for-library-district
CIRA Air Rescue Fire Fighting Station,"Crawford, Murphy & Tilly, Inc.","Bloomington, IL","Architecture, Electrical, Interior Design, Land Development, Mechanical, Plumbing, Structural",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Pictures%20260.jpg?h=fee4874d&itok=kk9dRsWl,https://www.f-w.com/projects/cira-adds-rescue-and-fire-fighting-facility
Wastewater Treatment and CSO Improvements,"City of Pekin, Illinois","Pekin, IL","Electrical, Structural, Wastewater",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/PekinWWTP2.jpg?h=12bd73b8&itok=zdkhmOp7,https://www.f-w.com/projects/city-expands-treatment-capacity-and-compliance
Brannan Sand and Gravel,Brannan Sand and Gravel,"Denver, CO","Architecture, Interior Design",Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/7.jpg?h=67c4b884&itok=OVV6psz7,https://www.f-w.com/projects/classically-designed-contemporary-building
Wabash Clinic Site and Public Space Improvements,Springfield Clinic,"Springfield, IL","Architecture, Interior Design",Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/exterior%202%20crop.jpg?h=b3f683c6&itok=wyCZaS0g,https://www.f-w.com/projects/clinic-upgrades-improve-patient-experience
Orchard Park Place,Arizona Gold Properties,"Westminster, CO",,,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/OPP3.jpg?h=a8b9067f&itok=qZg9H7Jk,https://www.f-w.com/projects/collaborative-planning-gets-results
Hewlett Packard Building 5,Hewlett-Packard Enterprise,"Fort Collins, CO","Engineering, Land Development, Surveying",Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_0882-1.jpg?h=79113675&itok=cwTEugWr,https://www.f-w.com/projects/collaborative-services-lead-to-project-success
New Corporate Headquarters,Pinnacle Actuarial Resources,"Bloomington, IL","Architecture, Electrical, Landscape Architecture, Mechanical, Plumbing, Surveying",Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/pinnacleextcropped.jpg?h=12bd73b8&itok=M6UeA6yC,https://www.f-w.com/projects/collaborative-work-environment-inside-and-out
New and Expanded K-12 Schools,Chicago Public Schools,"Chicago, IL",Commissioning (Cx),K-12 Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/CPS%20Solorio%20Academy%20entrance.jpg?h=3f9418ef&itok=UZv4zgJF,https://www.f-w.com/projects/commissioning-for-chicagos-public-schools
Utica Build-Out Commissioning,"Marathon Petroleum, LP","East Sparta, OH",Oil & Gas,"Energy & Utilities, Oil & Gas",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Utica%20Build%20Out%201.jpg?h=71976bb4&itok=Kb8_BnxZ,https://www.f-w.com/projects/commissioning-of-a-pipeline-to-transport-natural-gas-liquids-ngl
"Will County, IL, Justice Center Commissioning","Will County, IL","Joliet, IL","Building Enclosure Commissioning (BECx), Commissioning (Cx)",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/WillCountyweb1.jpg?h=12bd73b8&itok=es81Xs8U,https://www.f-w.com/projects/commissioning-process-keeps-project-team-unified
City of Monticello Community Planning,City of Monticello,"Monticello, IL","Architecture, Electrical, Landscape Architecture, Planning, Transportation",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Kirby%20Medical%20Center_0.jpg?h=0a729436&itok=w4eCalgl,https://www.f-w.com/projects/community-planning-to-enhance-livability
Paul M. Rady School of Computer Science and Engineering,Mesa Properties and Western Colorado University,"Gunnison, CO","Architecture, Electrical, Interior Design, Landscape Architecture, Mechanical, Structural, Surveying",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/PMR15.jpg?h=b37c6761&itok=dLdzoa7w,https://www.f-w.com/projects/compelling-design-for-engineering-school
Heritage Manor Facility Assessment Study,Heritage Enterprises,"Springfield, IL","Architecture, Electrical, Mechanical, Plumbing",Senior Life Care,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/WP_000132.jpg?h=926d89e9&itok=Um7JSDum,https://www.f-w.com/projects/comprehensive-assessment-outlines-improvements
Memorial Care Center Renovation,Memorial Hospital,"Belleville, IL","Architecture, Electrical, Landscape Architecture, Mechanical, Plumbing, Structural",Senior Life Care,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/014.JPG?h=a5eb5da0&itok=AsiQ10bK,https://www.f-w.com/projects/comprehensive-evaluation-leads-to-full-renovation
Fab Expansion UPW System,Confidential,,Process Piping,,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/UPW%202.JPG?h=0d054e74&itok=zzY-jf9z,https://www.f-w.com/projects/controls-reduced-polish-flow-increased-reliability
Two Rivers Crude Conversion,Marathon Pipe Line LLC,"Harford & Patoka, IL","Mechanical, Oil & Gas, Structural, Surveying","Energy & Utilities, Oil & Gas",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_0335.JPG?h=0d054e74&itok=3kHd2DMT,https://www.f-w.com/projects/conversion-of-an-idled-products-pipeline-to-crude-oil-service
Woodford County Courthouse and Public Safety Building Energy Assessment,"Woodford County, IL","Eureka, IL","Asset Management, Commissioning (Cx)",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Woodford%20Courthouse%20for%20web%202.jpg?h=feba0e1d&itok=ipg9jX1i,https://www.f-w.com/projects/courthouse-lowers-utility-costs
Black Band Distillery,Black Band Distillery,"PEORIA, IL","Architecture, Land Development, Landscape Architecture","Historic Preservation, Retail & Mixed Use",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/JCN19630c_0.jpg?h=47c1725e&itok=0n1qGadD,https://www.f-w.com/projects/craft-distillery-for-warehouse-district
West Georgia Technical College New Carroll County Campus,West Georgia Technical College,"Carroll County, GA","Building Enclosure Commissioning (BECx), Commissioning (Cx)",Higher Education,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/WGTC%20Carroll%20from%20web.png?h=1cc917f1&itok=pCRwL2fH,https://www.f-w.com/projects/crafting-a-campus-of-excellence-west-georgia-technical-college-new-carroll-county-campus
Boneyard Creek Improvements - Second Street Detention,City of Champaign,"Champaign, IL","Electrical, Engineering, Transportation, Stormwater Management",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/7-15-11_045.JPG?h=7685ba0d&itok=MfD71H9e,https://www.f-w.com/projects/creative-stormwater-project-provides-community-amenity
Bellco Credit Union,,"Aurora, CO",Architecture,Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Bellco%201a_4.jpg?h=42618629&itok=_O3ZOGCO,https://www.f-w.com/projects/credit-union-branch-conforms-to-community
Veterans Affairs Health Clinic and Domiciliary,Cullinan Properties,"Tampa, FL",Commissioning (Cx),"DOD / Federal, Healthcare",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/VA%20Tampa%20Entry-larger.png?h=f3b28668&itok=Q3tJbLf8,https://www.f-w.com/projects/critical-care-and-services-for-our-veterans-veterans-affairs-health-clinic-and-domiciliary
State Highway 1 and CR 54 (Douglas Road) Traffic Signal Design,Interwest Consulting Group,"Larimer County, CO","Engineering, Municipal, Subsurface Utility Engineering (SUE), Surveying",Municipal,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_0044.JPEG?h=404059e4&itok=egG0WTvK,https://www.f-w.com/projects/critical-sue-data-for-complex-project
Crossroads Wind Farm,"Crossroads Wind Power, LLC","Huron County, OH","Land Development, Structural, Surveying, Transportation","Energy & Utilities, Renewables",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DJI_20211019105402_0035.JPG?h=5767db86&itok=-U8EI4-l,https://www.f-w.com/projects/crossroads-wind-farm
Crude Oil Truck Unload Terminal,"Patoka Terminal Company, LLC","Patoka, IL","Electrical, Mechanical, Oil & Gas, Structural, Surveying","Energy & Utilities, Oil & Gas",https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/IMG_1962.JPG?h=19f14c2c&itok=dow1K8bF,https://www.f-w.com/projects/crude-oil-truck-unload-terminal
Current River State Park Renovation and Expansion,State of Missouri,"Salem, MO","Architecture, Electrical, Fire Protection, Interior Design, Landscape Architecture, Mechanical, Plumbing, Structural, Surveying",Historic Preservation,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Current%20River%20State%20Park_1.jpg?h=adbb760b&itok=TJG9qa2L,https://www.f-w.com/projects/current-river-state-park-renovation-and-expansion
CEFCU Member Center,CEFCU (Citizens Equity First Credit Union),"Chillicothe, IL","Architecture, Commissioning (Cx), Electrical, Interior Design, Land Development, Landscape Architecture, Mechanical, Plumbing, Structural",Commercial,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/_DSC0036.JPG?h=fee4874d&itok=JJflftHF,https://www.f-w.com/projects/cutting-edge-member-service-center
Pacific Visions,Aquarium of the Pacific,"Long Beach, CA","Building Enclosure Commissioning (BECx), Commissioning (Cx)",Library & Cultural,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/Untitled-1_5.jpg?h=9853a32c&itok=srxa7jGu,https://www.f-w.com/projects/cx-and-becx-leads-the-way-to-green-globes-certification
"New Denver Veterans Affairs Medical Center, Commissioning",Kiewit-Turner,"Aurora, CO",Commissioning (Cx),Healthcare,https://www.f-w.com/sites/default/files/styles/large_hero_image_mobile_1x/public/DEN-VA-Hospital-024%20for%20web%20cropped.jpg?h=c6980913&itok=EVj8tqE7,https://www.f-w.com/projects/cx-for-denver-va-medical-center
